0,9235,3129,29
1,14389,12272,10682
2,1283,9377,1066
3,17403,13471,2995
4,16908,1785,38
5,16555,4316,4560
6,6158,11555,3216
7,2887,4839,10983
8,16768,17561,6322
9,4305,2950,6959
10,8237,7630,246
11,2756,16562,16170
12,3353,13238,6921
13,15853,622,17334
14,4641,12968,13364
15,2652,13305,16225
16,1277,8752,2050
17,7239,9536,1938
18,11684,13292,666
19,15447,16399,16459
20,8078,17522,4620
21,763,2705,15475
22,5034,5682,8150
23,10558,15070,210
24,12699,6424,7458
25,7191,14639,30
26,10964,9352,8224
27,11174,4420,16491
28,7012,12973,16529
29,16817,17299,17309
30,11293,9197,4239
31,10170,2181,13285
32,2274,8419,14786
33,9461,16715,11564
34,1639,5020,7886
35,15855,16068,15761
36,9501,11335,32
37,11311,9557,12459
38,5679,7811,5658
39,4911,12956,4703
40,9151,9231,3672
41,16282,3691,11903
42,9827,11290,9897
43,17103,12483,14012
44,15988,5410,7965
45,6767,15648,2102
46,2916,14296,15255
47,9732,14705,1541
48,11354,8098,5091
49,5205,1295,8560
50,2735,14193,319
51,8179,15557,16704
52,15434,13427,6973
53,15862,6808,9038
54,6270,11296,1718
55,15451,12815,5794
56,15530,12114,4233
57,17320,17460,13159
58,13446,3579,1275
59,7491,10741,687
60,767,15747,4309
61,4791,15837,4322
62,9711,13115,11076
63,17227,2832,16955
64,5777,14336,14248
65,1276,1159,16622
66,9692,7768,15639
67,6394,16968,3704
68,7212,1079,11355
69,1005,9074,9851
70,16564,15232,16404
71,7068,10780,14270
72,2935,5106,15953
73,16055,2982,6244
74,6755,17201,10889
75,16711,8545,648
76,14851,1258,12277
77,11057,12970,14514
78,16593,15158,335
79,646,16822,2082
80,7749,17167,1419
81,17436,3835,3503
82,13750,16101,2345
83,3502,669,5909
84,2916,14296,13028
85,16564,15232,16404
86,12357,13966,7992
87,1359,13331,10104
88,16756,7794,12731
89,5271,12827,16324
90,3687,8614,9901
91,5691,17337,14875
92,17519,13805,12097
93,12952,8082,9885
94,10219,3003,10207
95,1465,3320,4662
96,12904,2239,16191
97,14537,15955,9146
98,11970,1883,12819
99,7591,3607,16667
100,11236,10768,3499
101,14513,2229,13753
102,14123,14607,14719
103,9883,9190,17403
104,7604,12949,13496
105,14598,2097,12255
106,2137,10480,1783
107,1703,9047,9559
108,6880,13657,7274
109,4216,5308,10377
110,828,4925,17406
111,2035,11159,11234
112,14541,9714,8090
113,10675,8362,17238
114,16379,2943,8160
115,1027,17254,435
116,8918,12766,1016
117,11150,14086,1151
118,2053,2188,9839
119,6141,1659,10642
120,5739,10604,15184
121,596,4199,11375
122,5208,13636,1085
123,13124,9364,11652
124,5537,15774,538
125,2565,12333,4099
126,10381,8163,5189
127,17403,7841,3751
128,2942,2614,9353
129,15462,7164,4990
130,13290,7828,12205
131,15084,11315,17373
132,9857,4284,8445
133,12756,8319,14203
134,13064,17540,11297
135,3890,1499,13797
136,1350,3599,5880
137,16078,11318,15571
138,7912,13068,913
139,14828,6961,1882
140,192,14137,6748
141,7110,3758,15502
142,7092,4497,4637
143,1343,17041,7670
144,8898,12258,3336
145,15941,14353,7295
146,9552,17099,11332
147,12814,14196,10657
148,17125,5304,5402
149,1301,14747,8719
150,574,4013,4723
151,522,10520,2255
152,11970,1883,12819
153,8160,16379,174
154,15573,13851,5785
155,1272,4078,8077
156,12142,4306,8441
157,13740,7032,3177
158,6612,15517,10664
159,10595,7849,6996
160,3564,15781,7784
161,13820,17151,10800
162,15949,7205,8524
163,6794,11927,659
164,12681,10698,2070
165,5773,12636,8188
166,13362,15368,2436
167,3784,3067,3432
168,10079,4963,8645
169,13533,17446,14657
170,6986,10883,5880
171,4111,12772,16688
172,17188,1290,530
173,1623,15657,2727
174,8603,8628,16808
175,13889,5191,13188
176,6019,4768,11214
177,1488,5674,11902
178,5735,13885,3015
179,1301,14747,8719
180,5159,12034,10086
181,11687,93,8117
182,12278,12988,8394
183,12160,12062,1546
184,11928,6729,17425
185,12400,3636,2663
186,6064,6401,11514
187,3511,16290,2934
188,14761,334,11672
189,9489,4471,9685
190,1196,16785,588
191,17497,3749,14302
192,10818,15098,14037
193,15683,8869,11215
194,5727,90,5103
195,327,9525,193
196,8641,1166,3654
197,876,8866,17440
198,6435,15886,5764
199,10887,1133,11602
200,17387,15689,12019
201,2025,10815,10832
202,17435,2438,1594
203,12402,1360,13190
204,10370,7400,1796
205,9339,7564,15725
206,8698,10126,11661
207,13883,15695,12762
208,9095,8217,175
209,1962,16500,3721
210,5874,14981,3135
211,15831,12740,816
212,7760,10643,1306
213,1279,7577,12289
214,15263,2041,7902
215,14655,563,6117
216,16343,13656,16017
217,7219,4303,4321
218,1176,16826,1737
219,16541,2680,12925
220,13682,10138,4594
221,16638,11239,11054
222,6944,12846,14680
223,2871,2386,6320
224,6033,1123,17417
225,13892,9871,3668
226,8546,3449,9301
227,11208,4214,11812
228,17463,9842,2959
229,14497,13658,15929
230,9612,1378,15433
231,12951,382,4761
232,10577,6455,9642
233,13983,14232,11705
234,14487,15082,10491
235,8601,3809,6354
236,844,2603,10849
237,9231,9151,3672
238,11041,10851,5180
239,8196,10917,2140
240,16783,10988,3142
241,2049,10585,14874
242,10381,8163,5189
243,7624,2100,10475
244,780,398,15085
245,5931,5074,9506
246,2369,11917,15235
247,1961,12800,11304
248,4012,11704,410
249,5844,11345,16916
250,14530,17243,3829
251,5493,6888,4606
252,312,15374,7672
253,9171,15121,10196
254,3019,56,10593
255,2774,16610,15298
256,10969,3419,5096
257,16976,5198,14889
258,1669,5270,6549
259,11220,9558,898
260,15538,7142,11817
261,2864,5120,12765
262,12620,8757,12212
263,2192,4195,13407
264,3591,5909,669
265,4159,8446,582
266,7798,3960,4919
267,2175,7063,3529
268,3975,13606,5655
269,3212,2250,9411
270,3269,11228,5473
271,11545,290,9331
272,12283,4328,13571
273,17526,1900,14098
274,6515,394,6924
275,6874,8575,10324
276,15824,5422,417
277,15071,10968,14003
278,7956,17304,9351
279,8297,14000,12996
280,5909,7637,8067
281,4333,4299,4394
282,12856,706,16970
283,10171,1094,10334
284,9216,2261,9421
285,2881,4880,14088
286,13563,16038,8055
287,7490,13371,4533
288,2375,12334,1596
289,10171,1094,9494
290,8981,7006,7429
291,14114,17517,14159
292,482,17335,11883
293,12849,2361,13965
294,14452,15342,10116
295,8661,14694,6563
296,9422,15346,14574
297,4681,6001,13131
298,8412,10273,10616
299,7836,9049,10884
300,10584,5900,176
301,6555,7104,15429
302,13733,10468,13396
303,14546,16554,7723
304,8714,4683,11102
305,6073,2478,6559
306,12163,14124,8835
307,1268,3373,9210
308,6995,5888,8259
309,13896,3294,3628
310,23,6873,7095
311,6431,16690,6315
312,9794,11845,11100
313,12843,8171,4485
314,7300,13302,8084
315,16552,4200,3261
316,14911,5288,4387
317,7586,2196,9059
318,5175,14502,11929
319,14505,5089,8370
320,8383,17405,11592
321,9237,7433,14407
322,4176,1697,13317
323,7966,7669,11410
324,15435,11869,13727
325,5868,2649,9292
326,2829,16852,1766
327,3591,3502,669
328,8908,10792,10406
329,10568,15729,16418
330,6519,4522,11675
331,7641,14273,15134
332,9702,17203,8062
333,1711,6762,13038
334,16135,3761,3891
335,4855,3492,16990
336,9235,3129,29
337,3985,12919,5137
338,14677,10432,12931
339,4945,15281,1908
340,16835,4020,10579
341,6333,14746,9149
342,10835,3898,679
343,3243,1408,16403
344,9842,17463,17158
345,10423,16042,16547
346,751,5680,15149
347,4837,8795,15037
348,15212,6134,15779
349,1490,1435,2527
350,14736,15032,6621
351,5175,6736,405
352,5475,16450,565
353,518,13621,1808
354,7407,1838,4016
355,12228,5371,17173
356,8023,16188,10319
357,12978,3381,16660
358,16861,12319,12491
359,4720,16015,9508
360,7967,11832,5199
361,573,6353,8558
362,14708,3032,6685
363,2086,11478,1496
364,6231,14610,4585
365,15709,4343,7237
366,6036,5906,10175
367,13300,9758,234
368,15230,2913,9563
369,6516,2933,6591
370,8306,5305,15913
371,13121,14715,11539
372,10951,7814,12939
373,4106,6795,6476
374,6737,7475,5318
375,1301,8719,9385
376,5034,5682,8150
377,10423,16547,16042
378,12848,15759,2518
379,4503,8181,4696
380,1025,1680,8972
381,9287,14186,6572
382,5851,8695,12145
383,3949,3871,8113
384,10597,4388,1029
385,15199,16924,11524
386,14103,9734,6380
387,2313,1087,14384
388,4737,1041,8967
389,12539,2725,7007
390,15586,12473,6871
391,237,1559,7726
392,3158,13295,5486
393,2931,9205,10864
394,4108,1337,848
395,8780,9869,16813
396,16887,17282,4442
397,3441,4324,6407
398,2430,7538,8036
399,11623,17419,2324
400,16996,14211,3237
401,248,13819,3429
402,8384,10132,2845
403,16363,1281,6190
404,7141,16058,7480
405,2893,13806,12579
406,9095,16957,8217
407,11338,6160,5806
408,10981,4915,6930
409,5339,12030,9323
410,3284,11957,11977
411,16043,2246,8346
412,8242,6593,5049
413,15514,17069,16228
414,11461,4765,12701
415,16432,16632,6823
416,6728,4591,5567
417,7830,7721,13575
418,11152,7593,9397
419,2132,5136,2768
420,4633,9585,746
421,1266,672,11178
422,10640,16716,3204
423,3228,10999,11962
424,10951,7814,16509
425,9741,886,2290
426,8365,3666,5364
427,10050,10694,3941
428,482,17335,5362
429,8639,5695,6982
430,11284,3133,12576
431,16727,12840,515
432,5475,16450,3091
433,5870,17263,3043
434,13156,14486,10620
435,12528,8677,1260
436,7778,3908,1816
437,17281,1765,134
438,3109,9533,262
439,3042,4583,9581
440,3441,4324,15715
441,17385,12832,2990
442,2141,11719,2164
443,12788,9123,5817
444,17003,3052,14815
445,6379,10779,17487
446,7264,10846,16757
447,11339,16657,16283
448,9991,3940,4517
449,3340,14014,4801
450,3502,5454,669
451,2829,6532,13814
452,15152,15379,12073
453,2080,7578,635
454,15241,16269,14077
455,504,8230,13066
456,17376,3542,5358
457,16300,6182,12630
458,2581,7190,3347
459,8813,7872,954
460,7358,8072,8907
461,1350,6986,5880
462,13989,3622,8585
463,2881,4880,6448
464,8372,17274,4397
465,16058,13703,7141
466,4825,1589,10672
467,17415,9482,9621
468,17477,11978,6605
469,11176,13186,10034
470,9444,6164,331
471,10462,8439,2771
